|6.6.6																					
average_ww_mp_ds6_2_1.tab																					
	2																				
T(K)																					
	723																				
	3.174603175																				
	64																				
P(bar)																					
	5000																				
	158.7301587																				
	64																				
	21																				
T(K)	P(bar)	C[Gt(W)1]	C[Gt(W)2]	C[Gt(W)3]	C[Gt(W)4]	C[Bi(W)5]	C[Bi(W)6]	C[Bi(W)7]	C[Bi(W)8]	C[Bi(W)9]	C[Mica(W)10]	C[Mica(W)11]	C[Mica(W)12]	C[Mica(W)13]	C[Mica(W)14]	C[Chl(W)15]	C[Chl(W)16]	C[Chl(W)17]	C[Chl(W)18]	C[Chl(W)19]	
	859.508	5000	0.38935	9.89E-02	0.390749	2.12101	1.21855	1.47158	2.69838	1.60324	8.25E-03	2.38E-02	1.87E-02	3.03654	2.92099	0.18531	NaN	NaN	NaN	NaN	NaN
	862.683	5000	0.393536	9.62E-02	0.386759	2.12353	1.21657	1.46977	2.69462	1.61077	8.28E-03	2.42E-02	1.91E-02	3.0375	2.91923	0.179884	NaN	NaN	NaN	NaN	NaN
	865.857	5000	0.397546	9.37E-02	0.382211	2.12656	1.21459	1.46797	2.69086	1.61829	8.30E-03	2.46E-02	1.95E-02	3.03842	2.91754	0.174676	NaN	NaN	NaN	NaN	NaN
	869.032	5000	0.401759	9.12E-02	0.378046	2.12898	1.21247	1.46636	2.68715	1.62569	8.32E-03	2.49E-02	1.98E-02	3.03929	2.91593	0.169734	NaN	NaN	NaN	NaN	NaN
	872.206	5000	0.405558	8.90E-02	0.372766	2.13269	1.21045	1.46464	2.68341	1.63319	8.32E-03	2.52E-02	2.02E-02	3.04012	2.91441	0.165051	NaN	NaN	NaN	NaN	NaN
	875.381	5000	0.409775	8.71E-02	0.368462	2.13464	1.20849	1.4629	2.67971	1.64057	8.33E-03	2.56E-02	2.06E-02	3.04093	2.9129	0.160372	NaN	NaN	NaN	NaN	NaN
	878.556	5000	0.413896	8.47E-02	0.363739	2.1377	1.20651	1.46123	2.67607	1.64785	8.33E-03	2.58E-02	2.09E-02	3.04166	2.91156	0.156342	NaN	NaN	NaN	NaN	NaN
	881.73	5000	0.418052	8.27E-02	0.359069	2.14022	1.20442	1.45968	2.67244	1.65513	8.33E-03	2.61E-02	2.13E-02	3.04238	2.91022	0.152259	NaN	NaN	NaN	NaN	NaN
	884.905	5000	0.421873	8.07E-02	0.35372	2.14372	1.20259	1.45791	2.66882	1.66236	8.33E-03	2.64E-02	2.16E-02	3.04307	2.90896	0.148417	NaN	NaN	NaN	NaN	NaN
	888.079	5000	0.426086	7.88E-02	0.348842	2.14627	1.20059	1.45632	2.66522	1.66955	8.31E-03	2.66E-02	2.19E-02	3.04373	2.90773	0.144654	NaN	NaN	NaN	NaN	NaN
